City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,sitka,US,57.0531,-135.33,55.29,94,100,13.8,light rain
82,hami,CN,42.8,93.45,61.56,17,73,10.85,broken clouds
83,mataura,NZ,-46.1927,168.8643,56.48,43,100,9.42,light rain
84,new norfolk,AU,-42.7826,147.0587,72.57,35,56,3.0,broken clouds
85,tricase,IT,39.9304,18.3553,58.35,90,0,11.27,clear sky
86,gornopravdinsk,RU,60.05,69.9,40.17,88,100,8.16,overcast clouds
87,port lincoln,AU,-34.7333,135.8667,66.96,60,0,12.15,clear sky
88,pierre,US,44.3683,-100.351,38.28,41,0,4.0,clear sky
89,horsham,GB,51.064,-0.3272,55.92,91,0,10.36,clear sky
90,comodoro rivadavia,AR,-45.8667,-67.5,66.06,24,0,10.36,clear sky
91,lagoa,PT,39.05,-27.9833,64.49,56,99,31.45,overcast clouds
92,bluff,NZ,-46.6,168.3333,56.8,64,100,20.49,light rain
93,vestmannaeyjar,IS,63.4427,-20.2734,44.65,74,100,15.23,overcast clouds
94,pangnirtung,CA,66.1451,-65.7125,13.93,78,3,9.95,clear sky
95,palmer,US,42.1584,-72.3287,44.51,87,0,0.0,clear sky
96,guadalupe y calvo,MX,26.1,-106.9667,49.69,90,1,5.41,clear sky
97,monitos,CO,8.25,-76.05,75.33,94,100,4.68,overcast clouds
98,honiara,SB,-9.4333,159.95,87.57,62,29,4.68,scattered clouds
99,kavaratti,IN,10.5669,72.642,82.02,71,96,17.02,light rain
100,avarua,CK,-21.2078,-159.775,77.05,61,40,19.57,scattered clouds
101,okhotsk,RU,59.3833,143.3,28.53,39,1,23.82,clear sky
102,mareeba,AU,-17.0,145.4333,89.44,54,8,10.07,clear sky
103,detchino,RU,54.8092,36.3075,50.45,95,100,1.54,overcast clouds
104,askino,RU,56.0901,56.5783,40.96,94,100,7.0,overcast clouds
105,puerto madero,MX,14.7208,-92.4215,79.93,80,100,6.87,overcast clouds
106,flinders,AU,-34.5833,150.8552,73.06,74,85,10.71,moderate rain
107,uberaba,BR,-19.7483,-47.9319,73.98,68,0,6.91,clear sky
108,gasa,PS,31.5,34.4667,70.05,71,1,2.84,clear sky
109,ugoofaaru,MV,5.6667,73.0,81.57,76,100,16.64,overcast clouds
110,panaba,MX,21.2833,-88.2667,75.72,92,100,5.19,overcast clouds
111,lompoc,US,34.6391,-120.4579,69.01,76,0,0.0,clear sky
112,helong,CN,42.5397,128.9972,49.15,32,0,6.91,clear sky
113,ushi,AM,40.3487,44.3725,41.7,69,0,2.93,clear sky
114,pascagoula,US,30.3658,-88.5561,51.85,61,0,4.61,clear sky
115,iqaluit,CA,63.7506,-68.5145,22.73,79,100,11.5,overcast clouds
116,jalu,LY,29.0331,21.5482,68.04,62,81,6.93,broken clouds
117,tautira,PF,-17.7333,-149.15,75.88,83,17,12.77,light rain
118,chokurdakh,RU,70.6333,147.9167,5.49,98,96,4.05,overcast clouds
119,mattru,SL,7.6244,-11.8332,72.55,98,91,2.39,overcast clouds
120,san patricio,US,28.017,-97.5169,67.84,28,96,7.18,overcast clouds
121,urbana,US,40.1106,-88.2073,42.51,53,0,11.01,clear sky
122,el alto,PE,-4.2714,-81.2147,62.08,81,86,11.92,overcast clouds
123,thompson,CA,55.7435,-97.8558,39.36,60,75,6.91,broken clouds
124,chuy,UY,-33.6971,-53.4616,60.48,91,100,11.54,overcast clouds
125,montijo,PT,38.7067,-8.9739,69.71,86,75,21.85,broken clouds
126,ponta do sol,PT,32.6667,-17.1,73.71,83,100,11.3,light rain
127,salinopolis,BR,-0.6136,-47.3561,80.87,78,95,13.38,overcast clouds
128,shaowu,CN,27.3409,117.4831,71.71,24,22,3.96,few clouds
129,khatanga,RU,71.9667,102.5,12.76,88,59,12.97,broken clouds
130,banda aceh,ID,5.5577,95.3222,81.77,76,99,15.14,overcast clouds
131,beringovskiy,RU,63.05,179.3167,37.38,97,100,43.28,moderate rain
132,batagay,RU,67.6333,134.6333,6.89,86,42,3.33,scattered clouds
133,big bend,SZ,-26.8167,31.9333,73.49,83,92,2.3,overcast clouds
134,khandbari,NP,27.3747,87.2039,68.25,45,0,1.88,clear sky
135,jumla,NP,29.2747,82.1838,53.24,46,2,1.74,clear sky
136,aitape,PG,-3.1374,142.3475,80.83,82,100,3.22,overcast clouds
137,axim,GH,4.8699,-2.2405,76.14,90,49,3.85,light rain
138,bani walid,LY,31.7566,13.9942,62.53,79,1,6.13,clear sky
139,thunder bay,CA,48.4001,-89.3168,37.38,60,75,11.5,broken clouds
140,puerto penasco,MX,31.3167,-113.5333,83.07,52,11,11.7,few clouds
141,hithadhoo,MV,-0.6,73.0833,81.16,72,100,8.68,overcast clouds
142,narragansett,US,41.4501,-71.4495,52.45,73,40,10.36,scattered clouds
143,tasiilaq,GL,65.6145,-37.6368,37.56,89,68,1.95,broken clouds
144,fortuna,US,40.5982,-124.1573,54.93,85,84,4.14,broken clouds
145,severo-kurilsk,RU,50.6789,156.125,41.94,68,47,33.13,light rain
146,clyde river,CA,70.4692,-68.5914,16.03,79,20,6.91,few clouds
147,bisira,PA,8.5196,-81.7115,60.37,98,100,2.57,overcast clouds
148,virginia beach,US,36.8529,-75.978,51.82,67,20,5.75,few clouds
149,mastic beach,US,40.7668,-72.8521,51.98,75,0,5.75,clear sky
150,bambous virieux,MU,-20.3428,57.7575,70.05,78,75,6.91,broken clouds
151,bengkulu,ID,-3.8004,102.2655,79.3,80,99,5.46,overcast clouds
152,imbituba,BR,-28.24,-48.6703,70.86,93,100,2.37,overcast clouds
153,saldanha,ZA,-33.0117,17.9442,55.45,95,17,2.66,few clouds
154,korhogo,CI,9.45,-5.6333,72.41,83,13,3.53,few clouds
155,zyryanka,RU,65.75,150.85,15.75,91,100,23.26,light snow
156,ventspils,LV,57.3894,21.5606,48.13,66,40,14.97,scattered clouds
157,beloha,MG,-25.1667,45.05,67.12,79,27,10.6,scattered clouds
158,romitan,UZ,39.9343,64.3814,51.75,66,20,6.91,few clouds
159,berlevag,NO,70.8578,29.0864,39.2,87,75,19.57,broken clouds
160,leningradskiy,RU,69.3833,178.4167,15.15,85,100,8.12,overcast clouds
161,pinega,RU,64.7001,43.3936,35.44,97,71,8.88,broken clouds
162,rocha,UY,-34.4833,-54.3333,59.5,91,100,11.1,overcast clouds
163,norman wells,CA,65.282,-126.8329,39.24,87,75,6.91,broken clouds
164,raga,SS,8.4596,25.678,68.83,81,71,2.46,broken clouds
165,arraial do cabo,BR,-22.9661,-42.0278,72.01,91,98,16.73,overcast clouds
166,talnakh,RU,69.4865,88.3972,33.21,99,100,9.24,light snow
167,pevek,RU,69.7008,170.3133,17.31,87,100,3.06,overcast clouds
168,provideniya,RU,64.3833,-173.3,32.36,93,100,15.99,overcast clouds
169,cabo san lucas,MX,22.8909,-109.9124,79.52,72,23,1.99,few clouds
170,north bend,US,43.4065,-124.2243,58.91,94,0,17.27,clear sky
171,kirakira,SB,-10.4544,161.9205,85.33,70,31,6.29,scattered clouds
172,mana,GF,5.6592,-53.7767,78.49,88,100,10.38,overcast clouds
173,bambanglipuro,ID,-7.95,110.2833,79.66,80,100,4.72,overcast clouds
174,pacific grove,US,36.6177,-121.9166,68.65,79,0,5.01,clear sky
175,nemuro,JP,43.3236,145.575,51.26,54,15,10.33,few clouds
176,qaanaaq,GL,77.484,-69.3632,4.8,81,96,6.51,overcast clouds
177,guanica,PR,17.9716,-66.908,80.98,85,0,5.66,clear sky
178,tuatapere,NZ,-46.1333,167.6833,52.84,62,100,9.64,light rain
179,husavik,IS,66.0449,-17.3389,33.33,79,10,10.36,clear sky
180,paldiski,EE,59.3567,24.0531,41.25,75,75,8.05,broken clouds
181,sidi ali,DZ,36.0998,0.4206,75.25,46,90,3.56,overcast clouds
182,fergus falls,US,46.283,-96.0776,28.47,59,0,3.44,clear sky
183,alofi,NU,-19.0595,-169.9187,82.29,65,75,8.05,broken clouds
184,nishihara,JP,26.1842,127.7558,76.66,71,100,25.32,overcast clouds
185,luena,AO,-11.7833,19.9167,61.25,93,100,2.82,light rain
186,port macquarie,AU,-31.4333,152.9167,71.89,79,100,5.12,light rain
187,carlsbad,US,33.1581,-117.3506,83.35,63,0,6.91,clear sky
188,kismayo,SO,-0.3582,42.5454,77.88,68,92,13.2,overcast clouds
189,makakilo city,US,21.3469,-158.0858,82.15,65,75,12.66,broken clouds
190,acapulco,MX,16.8634,-99.8901,78.08,88,100,6.96,moderate rain
191,bar harbor,US,44.3876,-68.2039,62.28,91,100,16.11,overcast clouds
192,bonfim,BR,3.0833,-59.95,76.96,85,63,5.01,light rain
193,puerto escondido,MX,15.85,-97.0667,78.24,83,100,18.37,overcast clouds
194,geraldton,AU,-28.7667,114.6,81.01,36,0,8.05,clear sky
195,asyut,EG,27.181,31.1837,67.37,45,32,6.76,scattered clouds
196,nanortalik,GL,60.1432,-45.2371,41.43,91,100,14.07,light rain
197,aden,YE,12.7794,45.0367,82.45,59,45,7.07,scattered clouds
198,airai,TL,-8.9266,125.4092,76.96,56,100,1.32,overcast clouds
199,ayagoz,KZ,47.9714,80.4392,37.89,68,9,2.91,clear sky
200,east london,ZA,-33.0153,27.9116,69.58,90,100,11.65,overcast clouds
201,saint-augustin,CA,51.226,-58.6502,48.88,86,100,6.87,overcast clouds
202,nitra,SK,48.3076,18.0845,55.63,65,30,7.02,scattered clouds
